"","ssvid","imo","shipname","n_shipname"
"513","503763200","0","TORNADO","TORNADO"
"514","247156780","0","INTREPIDO","INTREPIDO"
"515","225920740",NA,"HALCON","HALCON"
"516","725019300","0","ALBIMER","ALBIMER"
"517","224973270",NA,"POLUX-","POLUX"
"518","281756298","8404575","TORNADO","TORNADO"
"519","257113532",NA,"TORNADO","TORNADO"
"520","257811700","0","TORNADO","TORNADO"
"521","205345890","0","TORNADO","TORNADO"
"522","263062009","0","TORNADO","TORNADO"
"523","272593000","8897526","TORNADO","TORNADO"
"524","247299900","0","INTREPIDO","INTREPIDO"
"525","538006236","9183628","MARLIN","MARLIN"
"526","636014716","9453638","MARLIN","MARLIN"
"527","247299900","0","INTREPIDO","INTREPIDO"
"528","725000834","0","CORPESCA2","CORPESCA2"
"529","247151290","0","TORNADO","TORNADO"
"530","338166819",NA,"MARLIN","MARLIN"
"531","247141620","0","INTREPIDO","INTREPIDO"
"532","636014716","9453638","MARLIN","MARLIN"
"533","238794240","0","MARLIN","MARLIN"
"534","273367690","8404575","TORNADO  ( ""","TORNADO"
"535","725000192","0","SALMON","SALMON"
"536","770576299","0","BANDURRIA","BANDURRIA"
"537","244620777","0","MARLIN","MARLIN"
"538","345040017","9223801","HALCON","HALCON"
"539","725019300","0","ALBIMER","ALBIMER"
"540","273318680",NA,"TORNADO@@@@@@@@@@@%","TORNADO"
"541","636018687","9260067","TORNADO","TORNADO"
"542","224062000","0","AUDAZ","AUDAZ"
"543","725000027","0","AUDAZ","AUDAZ"
"544","725000029","0","INTREPIDO","INTREPIDO"
"545","304108000","9213715","MARLIN","MARLIN"
"546","271041703",NA,"TORNADO","TORNADO"
"547","293800000","8408466","INTREPIDO","INTREPIDO"
"548","636018877","9250323","ALERCE N","ALERCE"
"549","205242990","0","MARLIN","MARLIN"
"550","244620777",NA,"MARLIN","MARLIN"
"551","725000834","0","CORPESCA2","CORPESCA2"
"552","725001850","0","TORNADO","TORNADO"
"553","205242990","0","MARLIN","MARLIN"
"554","725000197","8903753","HURACAN","HURACAN"
"555","244710731","0","TORNADO","TORNADO"
"556","205518410","0","SALMON","SALMON"
"557","725000029","0","INTREPIDO","INTREPIDO"
"558","211756280","0","MARLIN","MARLIN"
"559","725017252","0","ALBIMER","ALBIMER"
"560","247151290","0","TORNADO","TORNADO"
"561","725000192","0","SALMON","SALMON"
"562","272593000","8897526","TORNADO","TORNADO"
"563","244710731","0","TORNADO","TORNADO"
"564","247120160","0","TORNADO","TORNADO"
"565","701006150","7723845","TORNADO","TORNADO"
"566","725000027","0","AUDAZ","AUDAZ"
"567","725000834","0","CORPESCA2","CORPESCA2"
"568","257983600","0","TORNADO","TORNADO"
"569","725000030","0","RELAMPAGO","RELAMPAGO"
"570","370482000","0","SALMON","SALMON"
"571","636014716","9453638","MARLIN","MARLIN"
"572","770576191","0","HURACAN","HURACAN"
"573","636014716","9453638","MARLIN        ""","MARLIN"
"574","273333290","7700192","TORNADO","TORNADO"
"575","273415310","8226656","MARLIN","MARLIN"
"576","725000834","0","CORPESCA2","CORPESCA2"
"577","272593000","8897526","TORNADO","TORNADO"
"578","273333290","7700192","TORNADO","TORNADO"
"579","725001536","9250323","ALERCE N","ALERCE"
