"","LatBin","LonBin","FishingHours"
"694",-19.6,-71.98,0
"695",-19.58,-71.98,0
"696",-19.56,-71.98,0
"697",-19.45,-71.98,0
"698",-19.44,-71.98,0
"699",-19.24,-71.98,0
"700",-19.19,-71.98,0
"701",-20.57,-71.97,0
"702",-20.43,-71.97,0
"703",-19.88,-71.97,0
"704",-19.85,-71.97,0
"705",-19.8,-71.97,0
"706",-19.78,-71.97,0
"707",-19.71,-71.97,0
"708",-19.7,-71.97,0
"709",-19.66,-71.97,0
"710",-19.65,-71.97,0
"711",-19.63,-71.97,0
"712",-19.59,-71.97,0
"713",-19.54,-71.97,0
"714",-19.33,-71.97,0
"715",-19.15,-71.97,0
"716",-20.41,-71.96,0
"717",-19.95,-71.96,0
"718",-19.87,-71.96,0
"719",-19.86,-71.96,0
"720",-19.85,-71.96,0
"721",-19.84,-71.96,0
"722",-19.82,-71.96,0
"723",-19.81,-71.96,0
"724",-19.8,-71.96,0
"725",-19.79,-71.96,0
"726",-19.77,-71.96,0
"727",-19.74,-71.96,0
"728",-19.72,-71.96,0
"729",-19.7,-71.96,0
"730",-19.69,-71.96,0
"731",-19.67,-71.96,0
"732",-19.66,-71.96,0
"733",-19.64,-71.96,0
"734",-19.63,-71.96,0
"735",-19.62,-71.96,0
"736",-19.61,-71.96,0
"737",-19.6,-71.96,0
"738",-19.59,-71.96,0
"739",-19.57,-71.96,0
"740",-19.56,-71.96,0
"741",-19.55,-71.96,0
"742",-19.54,-71.96,0
"743",-19.52,-71.96,0
"744",-19.51,-71.96,0
"745",-19.49,-71.96,0
"746",-19.48,-71.96,0
"747",-19.46,-71.96,0
"748",-19.45,-71.96,0
"749",-19.44,-71.96,0
"750",-19.43,-71.96,0
"751",-19.41,-71.96,0
"752",-19.4,-71.96,0
"753",-19.38,-71.96,0
"754",-19.27,-71.96,0
"755",-19.15,-71.96,0
"756",-20.53,-71.95,0
"757",-20.52,-71.95,0
"758",-20.5,-71.95,0
"759",-20.48,-71.95,0
"760",-20.39,-71.95,0
"761",-19.9,-71.95,0
"762",-19.88,-71.95,0
"763",-19.82,-71.95,0
"764",-19.72,-71.95,0
"765",-19.69,-71.95,0.133333333333333
"766",-19.68,-71.95,0
"767",-19.67,-71.95,0
"768",-19.64,-71.95,0
"769",-19.62,-71.95,0
"770",-19.61,-71.95,0
"771",-19.6,-71.95,0
"772",-19.59,-71.95,0
"773",-19.58,-71.95,0
"774",-19.57,-71.95,0
"775",-19.56,-71.95,0
"776",-19.55,-71.95,0
"777",-19.54,-71.95,0
"778",-19.53,-71.95,0
"779",-19.52,-71.95,0
"780",-19.51,-71.95,0
"781",-19.5,-71.95,0
"782",-19.49,-71.95,0
"783",-19.47,-71.95,0
"784",-19.45,-71.95,0
"785",-19.36,-71.95,0
"786",-19.33,-71.95,0
"787",-19.31,-71.95,0
"788",-19.28,-71.95,0
"789",-19.26,-71.95,0
"790",-19.25,-71.95,0
"791",-19.24,-71.95,0
"792",-19.23,-71.95,0
"793",-19.18,-71.95,0
"794",-20.58,-71.94,0.4175
"795",-20.57,-71.94,0
"796",-20.54,-71.94,0.515555555555556
"797",-20.53,-71.94,0.110277777777778
"798",-20.51,-71.94,0
"799",-20.47,-71.94,0
"800",-20.37,-71.94,0
"801",-19.97,-71.94,0
"802",-19.93,-71.94,0
"803",-19.89,-71.94,0
"804",-19.88,-71.94,0
"805",-19.83,-71.94,0
"806",-19.76,-71.94,0
"807",-19.73,-71.94,0
"808",-19.7,-71.94,0
"809",-19.69,-71.94,0
"810",-19.68,-71.94,0.133333333333333
"811",-19.66,-71.94,0
"812",-19.63,-71.94,0
"813",-19.6,-71.94,0
"814",-19.59,-71.94,0
"815",-19.58,-71.94,0
"816",-19.57,-71.94,0.666666666666665
"817",-19.52,-71.94,0
"818",-19.43,-71.94,0
"819",-19.42,-71.94,0
"820",-19.4,-71.94,0
"821",-19.38,-71.94,0
"822",-19.36,-71.94,0
"823",-19.35,-71.94,0
"824",-19.33,-71.94,0
"825",-19.2,-71.94,0
"826",-19.19,-71.94,0
"827",-19.18,-71.94,0
"828",-19.16,-71.94,0
"829",-19.15,-71.94,0
"830",-19.14,-71.94,0
"831",-19.13,-71.94,0
"832",-20.59,-71.93,1.20222222222222
"833",-20.58,-71.93,1.33055555555556
"834",-20.57,-71.93,0.125
"835",-20.56,-71.93,0
"836",-20.55,-71.93,0.155
"837",-20.54,-71.93,1.48027777777778
"838",-20.53,-71.93,0
"839",-20.46,-71.93,0
"840",-20.34,-71.93,0
"841",-20.33,-71.93,0
"842",-19.98,-71.93,0
"843",-19.91,-71.93,0
"844",-19.88,-71.93,0
"845",-19.86,-71.93,0
"846",-19.85,-71.93,0
"847",-19.84,-71.93,0
"848",-19.82,-71.93,0
"849",-19.81,-71.93,0
"850",-19.75,-71.93,0
"851",-19.72,-71.93,0
"852",-19.7,-71.93,0.133333333333333
"853",-19.69,-71.93,0.133333333333333
"854",-19.68,-71.93,0.133333333333333
"855",-19.67,-71.93,0.266666666666666
"856",-19.66,-71.93,0.133333333333333
"857",-19.65,-71.93,0
"858",-19.64,-71.93,0
"859",-19.59,-71.93,0
"860",-19.58,-71.93,0
"861",-19.55,-71.93,0
"862",-19.49,-71.93,0
"863",-19.47,-71.93,0
"864",-19.45,-71.93,0
"865",-19.42,-71.93,0
"866",-19.41,-71.93,0
"867",-19.4,-71.93,0
"868",-19.39,-71.93,0
"869",-19.31,-71.93,0
"870",-19.27,-71.93,0
"871",-19.24,-71.93,0
"872",-19.18,-71.93,0
"873",-20.6,-71.92,0
"874",-20.59,-71.92,0.515277777777777
"875",-20.58,-71.92,1.2325
"876",-20.57,-71.92,0.941944444444445
"877",-20.56,-71.92,1.10194444444444
"878",-20.55,-71.92,0.723333333333332
"879",-20.54,-71.92,0.697222222222222
"880",-20.53,-71.92,0
"881",-20.52,-71.92,0
"882",-20.51,-71.92,0
