"","LatBin","LonBin","fishing_hours_sq_km","Log_fishing_hours_sq_km"
"595",-19.47,-72.05,0.114779880750657,-0.940134230794484
"596",-19.46,-72.05,0.114772800727239,-0.940161020419274
"597",-19.43,-72.05,0,-Inf
"598",-19.34,-72.05,0,-Inf
"599",-19.27,-72.05,0,-Inf
"600",-19.17,-72.05,0,-Inf
"601",-19.86,-72.04,0,-Inf
"602",-19.85,-72.04,0,-Inf
"603",-19.76,-72.04,0,-Inf
"604",-19.68,-72.04,0,-Inf
"605",-19.67,-72.04,0,-Inf
"606",-19.63,-72.04,0,-Inf
"607",-19.55,-72.04,0,-Inf
"608",-19.54,-72.04,0.229659126709313,-0.638916290935225
"609",-19.53,-72.04,0,-Inf
"610",-19.52,-72.04,0,-Inf
"611",-19.51,-72.04,0,-Inf
"612",-19.48,-72.04,0,-Inf
"613",-19.8,-72.03,0,-Inf
"614",-19.78,-72.03,0,-Inf
"615",-19.71,-72.03,0,-Inf
"616",-19.7,-72.03,0,-Inf
"617",-19.57,-72.03,0,-Inf
"618",-19.55,-72.03,0,-Inf
"619",-19.54,-72.03,0.114829563354657,-0.939946286599204
"620",-19.53,-72.03,0.114822452712517,-0.939973180442316
"621",-19.5,-72.03,0,-Inf
"622",-19.47,-72.03,0,-Inf
"623",-19.24,-72.03,0,-Inf
"624",-19.19,-72.03,0,-Inf
"625",-19.16,-72.03,0,-Inf
"626",-19.88,-72.02,0,-Inf
"627",-19.87,-72.02,0,-Inf
"628",-19.71,-72.02,0,-Inf
"629",-19.69,-72.02,0,-Inf
"630",-19.64,-72.02,0,-Inf
"631",-19.63,-72.02,0,-Inf
"632",-19.61,-72.02,0,-Inf
"633",-19.6,-72.02,0,-Inf
"634",-19.58,-72.02,0,-Inf
"635",-19.57,-72.02,0,-Inf
"636",-19.56,-72.02,0,-Inf
"637",-19.54,-72.02,0,-Inf
"638",-19.53,-72.02,0,-Inf
"639",-19.33,-72.02,0,-Inf
"640",-19.27,-72.02,0,-Inf
"641",-19.16,-72.02,0,-Inf
"642",-19.82,-72.01,0,-Inf
