field_1,n_shipname,lat_bin,lon_bin,fishing_hours,total_hours,fishing_hours_sq_km,total_hours_sq_km
"143300",CORPESCA2,-19.6,-70.31,0,0.2630556,0,0.2266335
"143835",HURACAN,-19.66,-70.3,0,0.2766667,0,0.2384491
"144210",ANGAMOS2,-19.62,-70.27,0,0.0375,0,0.03231186
"144947",EPERVA65,-19.62,-70.28,0,0.05777778,0,0.0497842
"145309",AVENTURERO,-19.6,-70.29,0,0.4183333,0,0.3604119
"145316",AVENTURERO,-19.61,-70.28,0,0.2736111,0,0.2357422
"145643",ANGAMOS4,-19.66,-70.22,0,0.1333333,0,0.1149152
"146430",CORPESCAI,-19.62,-70.28,0,0.1430556,0,0.1232638
"146435",CORPESCAI,-19.65,-70.26,0,0.1333333,0,0.1149081
"147260",ATACAMAV,-19.65,-70.26,0,1.2,0,1.034173
"147770",EPERVA64,-19.63,-70.3,0.6686111,1.068611,0.5761443,0.9208256
"148120",EPERVA56,-19.62,-70.29,0,0.2705556,0,0.2331241
"148136",EPERVA56,-19.63,-70.28,0,0.135,0,0.1163299
"148655",DONGINO,-19.64,-70.3,0,0.8080556,0,0.6963474
"148695",DONGINO,-19.62,-70.3,0,0.2636111,0,0.2271404
